product_id;brand;memory;smartphone_price;smartphone_promo_price;link;model;model_spec
3300528;Apple;256 GB;1.359, €;1.229, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300528&productName=Apple iPhone 15 Pro#/category=Smartphones/pageNo=1;iPhone 15;iPhone 15 Pro
2116122;Apple;256 GB;1.279, €;1.159, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2116122&productName=Apple iPhone 13 Pro#/category=Smartphones/pageNo=4;iPhone 13;iPhone 13 Pro
3300530;Apple;128 GB;969, €;869, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300530&productName=Apple iPhone 15#/category=Smartphones/pageNo=1;iPhone 15;iPhone 15
2128996;Apple;256 GB;1.099, €;969, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2128996&productName=Apple iPhone 14 Plus#/category=Smartphones/pageNo=3;iPhone 14;iPhone 14 Plus
2116093;Apple;256 GB;879, €;779, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2116093&productName=Apple iPhone 13#/category=Smartphones/pageNo=4;iPhone 13;iPhone 13
2116093;Apple;512 GB;1.129, €;999, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2116093&productName=Apple iPhone 13#/category=Smartphones/pageNo=4;iPhone 13;iPhone 13
2116093;Apple;128 GB;749, €;649, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2116093&productName=Apple iPhone 13#/category=Smartphones/pageNo=4;iPhone 13;iPhone 13
2116117;Apple;512 GB;1.109, €;999, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2116117&productName=Apple iPhone 13 mini#/category=Smartphones/pageNo=4;iPhone 13;iPhone 13 Mini
2116117;Apple;128 GB;759, €;699, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2116117&productName=Apple iPhone 13 mini#/category=Smartphones/pageNo=4;iPhone 13;iPhone 13 Mini
2128994;Apple;128 GB;869, €;769, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2128994&productName=Apple iPhone 14#/category=Smartphones/pageNo=2;iPhone 14;iPhone 14
2128994;Apple;256 GB;999, €;899, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2128994&productName=Apple iPhone 14#/category=Smartphones/pageNo=2;iPhone 14;iPhone 14
2128994;Apple;512 GB;1.249, €;1.129, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2128994&productName=Apple iPhone 14#/category=Smartphones/pageNo=2;iPhone 14;iPhone 14
2122989;Apple;128 GB;569, €;549, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2122989&productName=Apple iPhone SE 5G#/category=Smartphones/pageNo=4;iPhone SE;iPhone SE 5G
2122988;Apple;64 GB;519, €;499, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2122988&productName=Apple iPhone SE 5G#/category=Smartphones/pageNo=4;iPhone SE;iPhone SE 5G
2129003;Apple;1000 GB;1.949, €;1.749, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2129003&productName=Apple iPhone 14 Pro Max#/category=Smartphones/pageNo=3;iPhone 14;iPhone 14 Pro Max
2129003;Apple;256 GB;1.449, €;1.299, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2129003&productName=Apple iPhone 14 Pro Max#/category=Smartphones/pageNo=3;iPhone 14;iPhone 14 Pro Max
2129003;Apple;128 GB;1.379, €;1.179, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2129003&productName=Apple iPhone 14 Pro Max#/category=Smartphones/pageNo=3;iPhone 14;iPhone 14 Pro Max
2128996;Apple;512 GB;1.349, €;1.249, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2128996&productName=Apple iPhone 14 Plus#/category=Smartphones/pageNo=3;iPhone 14;iPhone 14 Plus
2116100;Apple;256 GB;1.299, €;1.249, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2116100&productName=Apple iPhone 13 Pro Max#/category=Smartphones/pageNo=4;iPhone 13;iPhone 13 Pro Max
2116100;Apple;1000 GB;1.749, €;1.699, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2116100&productName=Apple iPhone 13 Pro Max#/category=Smartphones/pageNo=4;iPhone 13;iPhone 13 Pro Max
2128996;Apple;128 GB;969, €;849, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2128996&productName=Apple iPhone 14 Plus#/category=Smartphones/pageNo=3;iPhone 14;iPhone 14 Plus
