,product_id,model,color,memory,price_regular,price_for_clients,link
0,2123285," Apple MacBook Air 13"" M1 256GB Space Grey - Azerty ",Grijs,256 GB," € 979,00 ",969,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2123285&productName=Apple%20MacBook%20Air%2013%22%20M1%20256GB%20Space%20Grey%20-%20Azerty#/category=Outlet/pageNo=1
1,2067885, Siemens DL 580 ,Grijs,," € 59,00 ",55,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2067885&productName=Siemens%20DL%20580#/category=Outlet/pageNo=1
2,2119580, Emporia Tablet 4G/LTE 32GB - Zwart ,Zwart,32 GB," € 299,00 ",249,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2119580&productName=Emporia%20Tablet%204G/LTE%2032GB%20-%20Zwart#/category=Outlet/pageNo=1
3,2110979, Nuki Power pack ,Wit,,,49,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2110979&productName=Nuki%20Power%20pack#/category=Outlet/pageNo=1
4,2088182, Samsung QE55Q60TASXXN ,Zwart,," € 699,00 ",599,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2088182&productName=Samsung%20QE55Q60TASXXN#/category=Outlet/pageNo=1
5,2124179, Emporia SuperEasy 32GB 4G - Zwart ,Zwart,32 GB," € 229,00 ",199,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2124179&productName=Emporia%20SuperEasy%2032GB%204G%20-%20Zwart#/category=Outlet/pageNo=1
6,2125086, Samsung Galaxy A13 5G 128GB Black ,Zwart,128 GB," € 219,00 ",199,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2125086&productName=Samsung%20Galaxy%20A13%205G#/category=Outlet/pageNo=1
7,2125086, Samsung Galaxy A13 5G 128GB Light Blue ,Blauw,128 GB," € 219,00 ",199,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2125086&productName=Samsung%20Galaxy%20A13%205G#/category=Outlet/pageNo=1
8,2100191, Apple iPhone 12 Pro 256GB Graphite ,Zwart,256 GB," € 1149,00 ",1129,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2100191&productName=Apple%20iPhone%2012%20Pro#/category=Outlet/pageNo=1
9,2100191, Apple iPhone 12 Pro 256GB Pacific Blauw ,Blauw,256 GB," € 1149,00 ",1129,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2100191&productName=Apple%20iPhone%2012%20Pro#/category=Outlet/pageNo=1
10,2109782, OnePlus 9 5G 128GB Arctic Sky ,Blauw,128 GB," € 499,00 ",399,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2109782&productName=OnePlus%209#/category=Outlet/pageNo=1
11,2120888, Samsung Galaxy S22 Ultra 128GB 5G Phantom Black ,Zwart,128 GB," € 1199,00 ",799,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2120888&productName=Samsung%20Galaxy%20S22%20Ultra%205G#/category=Outlet/pageNo=1
12,2120779, Samsung Galaxy S22 128GB 5G Phantom Black ,Zwart,128 GB," € 629,00 ",549,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2120779&productName=Samsung%20Galaxy%20S22%205G#/category=Outlet/pageNo=1
