,product_id,model,color,memory,price_regular,price_for_clients,link
0,2128980, Philips Hue starterkit - wit en gekleurd - 2 lampen - E27 - 1100lm ,Wit,," € 139,00 ",99,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2128980&productName=Philips%20Hue%20starterkit%20-%20wit%20en%20gekleurd%20-%202%20lampen%20-%20E27%20-%201100lm#/category=Smart%20Home/pageNo=1
1,2128981, Philips Hue Starterkit 3 lampen (E27-1100lm) - Warm tot koelwit licht + 1 dimmer switch ,Wit,," € 129,00 ",94,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2128981&productName=Philips%20Hue%20Starterkit%203%20lampen%20(E27-1100lm)%20-%20Warm%20tot%20koelwit%20licht%20+%201%20dimmer%20switch#/category=Smart%20Home/pageNo=1
2,2128982, Philips Hue starterkit - wit en gekleurd - 3 lampen - E27 - 1100lm - 1 dimmer switch ,Wit,," € 189,00 ",139,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2128982&productName=Philips%20Hue%20starterkit%20-%20wit%20en%20gekleurd%20-%203%20lampen%20-%20E27%20-%201100lm%20-%201%20dimmer%20switch#/category=Smart%20Home/pageNo=1
3,2128993, Philips Hue starterkit - warmwit licht - 3 lampen - E27 - 1100lm - 1 dimmer switch ,Wit,," € 99,00 ",74,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2128993&productName=Philips%20Hue%20starterkit%20-%20warmwit%20licht%20-%203%20lampen%20-%20E27%20-%201100lm%20-%201%20dimmer%20switch#/category=Smart%20Home/pageNo=1
4,2129079, Philips Hue starterkit - wit en gekleurd - 2 lampen - E27 - 1100lm - 1 dimmer switch ,Wit,," € 149,00 ",109,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2129079&productName=Philips%20Hue%20starterkit%20-%20wit%20en%20gekleurd%20-%202%20lampen%20-%20E27%20-%201100lm%20-%201%20dimmer%20switch#/category=Smart%20Home/pageNo=1
5,2124783, Google Nest Mini Rock Candy ,Grijs,," € 59,00 ",29,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2124783&productName=Google%20Google%20Nest%20Mini%20Rock%20Candy#/category=Smart%20Home/pageNo=1
6,2124685, Google Nest Hub 2nd Gen - Charcoal ,Wit,," € 99,00 ",49,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2124685&productName=Google%20Google%20Nest%20Hub%202nd%20Gen%20-%20Charcoal#/category=Smart%20Home/pageNo=1
7,2124686, Google New Nest Doorbell ,Geel,," € 199,00 ",159,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2124686&productName=Google%20New%20Nest%20Doorbell#/category=Smart%20Home/pageNo=1
8,2124784, Google New Nest Cam ,Wit,," € 179,00 ",149,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2124784&productName=Google%20New%20Google%20Nest%20Cam#/category=Smart%20Home/pageNo=1
9,2124785, Google New Nest Cam 2 pack ,Wit,," € 339,00 ",289,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2124785&productName=Google%20New%20Nest%20Cam%202%20pack#/category=Smart%20Home/pageNo=1
10,2087279, Ring CHIME Gen. 2 ,Wit,,,35,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2087279&productName=Ring%20CHIME%20Gen.%202#/category=Smart%20Home/pageNo=1
11,2110979, Nuki Power pack ,Wit,,,49,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2110979&productName=Nuki%20Power%20pack#/category=Smart%20Home/pageNo=1
12,2118085, Ring Ring Stick Up Cam Battery - White ,Wit,," € 99,00 ",69,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2118085&productName=Ring%20Ring%20Stick%20Up%20Cam%20Battery%20-%20White#/category=Smart%20Home/pageNo=1
13,3300019, Apple HomePod - Midnight ,Grijs,," € 349,00 ",299,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300019&productName=Apple%20HomePod#/category=Smart%20Home/pageNo=1
14,2123185, Apple HomePod mini space grey ,Grijs,," € 109,00 ",89,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2123185&productName=Apple%20HomePod%20mini%20space%20grey#/category=Smart%20Home/pageNo=2
