,title,description,initial_price,components,link,scrape_type,promotion_duration,post_promotion_price,internet_speed
0, Easy Internet + Mobile 5 GB + Telenet TV Iconic," 150 GB per maand
100 Mbps downloadsnelheid
10 Mbps uploadsnelheid
Thuis veilig surfen op al je toestellen met Safesurf
5 GB mobiele data
Onbeperkt bellen
Onbeperkt sms'en
Tot 30 Mbps downloadsnelheid
Tot 5 Mbps uploadsnelheid
4G/5G
Extra mobiel abonnement nodig? Dat kan voor €16 per nummer
93 zenders
Telenet TV-box met afstandsbediening
Tv streamen via app
Terugkijk TV","80,47"," Easy Internet
Telenet Mobile 5 GB
Telenet TV Iconic",https://www2.telenet.be/residential/nl/producten/internet-mobiel-tv/easy-internet---mobile-5gb---telenet-tv-iconic/,internet-mobiel-tv,,,
1, Easy Internet + Mobile 8 GB + Telenet TV iconic," 150 GB per maand
100 Mbps downloadsnelheid
10 Mbps uploadsnelheid
Thuis veilig surfen op al je toestellen met Safesurf
8 GB mobiele data
Onbeperkt bellen
Onbeperkt sms'en
Tot 30 Mbps downloadsnelheid
Tot 5 Mbps uploadsnelheid
4G/5G
Extra mobiel abonnement nodig?
Dat kan voor €20,94 per nummer
93 zenders
Telenet TV-box met afstandsbediening
Tv streamen via app
Terugkijk TV","85,41"," Easy Internet
Telenet Mobile 8 GB
Telenet TV iconic",https://www2.telenet.be/residential/nl/producten/internet-mobiel-tv/easy-internet---mobile-8gb---telenet-tv-iconic/,internet-mobiel-tv,,,
2, ONE," Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","58,24"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel-tv,12,"73,24",250 Mbps
3, ONEup," Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","80,39"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel-tv,12,"95,39",1 Gbps
4, ONE," Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","58,24"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel-tv,12,"73,24",250 Mbps
5, ONEup," Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","80,39"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel-tv,12,"95,39",1 Gbps
6, ONE," Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","58,24"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel-tv,12,"73,24",250 Mbps
7, ONEup," Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","80,39"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel-tv,12,"95,39",1 Gbps
8, ONE," Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","58,24"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel-tv,12,"73,24",250 Mbps
9, ONEup," Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","80,39"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel-tv,12,"95,39",1 Gbps
