,product_id,model,color,memory,price_regular,price_for_clients,link
0,2071989, Apple EarPods met Lightning Connector ,Wit,,,19,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2071989&productName=Apple%20EarPods%20met%20Lightning%20Connector#/category=Accessoires/pageNo=3
1,2074531, Apple iPhone 11 Pro Leren hoesje - Zwart ,Zwart,,,30,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2074531&productName=Apple%20iPhone%2011%20Pro%20Leren%20hoesje%20-%20Zwart#/category=Accessoires/pageNo=3
2,2074530, Apple iPhone 11 Pro Max Siliconenhoesje - Zwart ,Zwart,,,25,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2074530&productName=Apple%20iPhone%2011%20Pro%20Max%20Siliconenhoesje%20-%20Zwart#/category=Accessoires/pageNo=3
3,2074686, Apple iPhone 11 Pro Leren hoesje - Bosgroen ,Groen,,,30,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2074686&productName=Apple%20iPhone%2011%20Pro%20Leren%20hoesje%20-%20Bosgroen#/category=Accessoires/pageNo=3
4,2074532, Apple iPhone 11 Pro Max Leren hoesje - Zwart ,Zwart,,,30,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2074532&productName=Apple%20iPhone%2011%20Pro%20Max%20Leren%20hoesje%20-%20Zwart#/category=Accessoires/pageNo=3
5,2072583, Samsung Dual auto snellader + Micro USB kabel - Zwart ,Zwart,,,29,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2072583&productName=Samsung%20Dual%20auto%20snellader%20+%20Micro%20USB%20kabel%20-%20Zwart#/category=Accessoires/pageNo=3
6,2069079, Azuri Travel Kit Samsung / Huawei ,Zwart,,,10,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2069079&productName=Azuri%20Travel%20Kit%20Samsung%20/%20Huawei#/category=Accessoires/pageNo=3
7,2069080, Azuri Travel Kit Apple ,Zwart,,,10,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2069080&productName=Azuri%20Travel%20Kit%20Apple#/category=Accessoires/pageNo=3
8,2074685, Apple iPhone 11 Pro Siliconenhoesje - Zwart ,Zwart,,,25,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2074685&productName=Apple%20iPhone%2011%20Pro%20Siliconenhoesje%20-%20Zwart#/category=Accessoires/pageNo=3
9,2073081, Huawei Dual auto snellader + USB-C kabel - Zwart ,Zwart,,,20,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2073081&productName=Huawei%20Dual%20auto%20snellader%20+%20USB-C%20kabel%20-%20Zwart#/category=Accessoires/pageNo=3
10,2089981, Azuri USB 3.0 Ethernet-adapter ,Zwart,," € 15,00 ",10,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2089981&productName=Azuri%20USB%203.0%20Ethernet-adapter#/category=Accessoires/pageNo=3
11,2090085, Apple iPhone 11 Pro Doorzichtig hoesje ,Transparant,,,25,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2090085&productName=Apple%20iPhone%2011%20Pro%20Doorzichtig%20hoesje#/category=Accessoires/pageNo=3
12,2089998, Apple iPhone 11 Pro Max Doorzichtig hoesje ,Transparant,,,25,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2089998&productName=Apple%20iPhone%2011%20Pro%20Max%20Doorzichtig%20hoesje#/category=Accessoires/pageNo=3
13,2111985, Apple Lightning naar USB-A Kabel (1m) ,Wit,,,25,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2111985&productName=Apple%20Lightning%20naar%20USB-A%20Kabel%20(1m)#/category=Accessoires/pageNo=3
14,2112095, Samsung Type-C Oordopjes- Wit ,Wit,,,29,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2112095&productName=Samsung%20Type-C%20Oordopjes-%20Wit#/category=Accessoires/pageNo=3
15,2112094, Samsung Type-C Oordopjes - Zwart ,Zwart,,,29,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2112094&productName=Samsung%20Type-C%20Oordopjes%20-%20Zwart#/category=Accessoires/pageNo=4
16,2116149, Apple iPhone 13 Pro Max Leren hoesje met MagSafe - Middernacht ,Zwart,,,55,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2116149&productName=Apple%20iPhone%2013%20Pro%20Max%20Leren%20hoesje%20met%20MagSafe%20-%20Middernacht#/category=Accessoires/pageNo=4
17,2121508, Samsung USB-C Universele oplader 25W (zonder kabel) - Zwart ,Zwart,,,25,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2121508&productName=Samsung%20USB-C%20Universele%20oplader%2025W%20(zonder%20kabel)%20-%20Zwart#/category=Accessoires/pageNo=4
18,2121509, Samsung USB-C Universele oplader 25W (zonder kabel) - Wit ,Wit,,,25,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2121509&productName=Samsung%20USB-C%20Universele%20oplader%2025W%20(zonder%20kabel)%20-%20Wit#/category=Accessoires/pageNo=4
19,2072585, Samsung Galaxy Buds Bluetooth Oordopjes - Zwart ,Zwart,," € 69,00 ",59,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2072585&productName=Samsung%20Galaxy%20Buds%20Bluetooth%20Oordopjes%20-%20Zwart#/category=Accessoires/pageNo=4
20,2119749, Muvit Samsung Galaxy S22 Tempered Glass ,Transparant,,,23,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2119749&productName=Muvit%20Samsung%20Galaxy%20S22%20Tempered%20Glass#/category=Accessoires/pageNo=4
21,2119762, Muvit Samsung Galaxy S22 Plus Tempered Glass ,Transparant,,,23,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2119762&productName=Muvit%20Samsung%20Galaxy%20S22%20Plus%20Tempered%20Glass#/category=Accessoires/pageNo=4
22,2119850, Muvit Samsung Galaxy S22 Recycletek Folio Stand - Zwart ,Zwart,,,27,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2119850&productName=Muvit%20Samsung%20Galaxy%20S22%20Recycletek%20Folio%20Stand%20-%20Zwart#/category=Accessoires/pageNo=4
23,2119822, Muvit Samsung Galaxy S22 Plus Recycletek Folio Stand - Zwart ,Zwart,,,27,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2119822&productName=Muvit%20Samsung%20Galaxy%20S22%20Plus%20Recycletek%20Folio%20Stand%20-%20Zwart#/category=Accessoires/pageNo=4
24,2119748, Muvit Samsung Galaxy S22 Ultra Recycletek Folio Stand - Zwart ,Zwart,,,27,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2119748&productName=Muvit%20Samsung%20Galaxy%20S22%20Ultra%20Recycletek%20Folio%20Stand%20-%20Zwart#/category=Accessoires/pageNo=4
25,2123789, Itskins Xiaomi Redmi Note 11 Level 2 Spectrum hoesje - Transparant ,Transparant,,,25,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2123789&productName=Itskins%20Xiaomi%20Redmi%20Note%2011%20Level%202%20Spectrum%20hoesje%20-%20Transparant#/category=Accessoires/pageNo=4
26,2123790, Muvit Xiaomi Redmi Note 11 Recycletek Folio Stand - Zwart ,Zwart,,,27,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2123790&productName=Muvit%20Xiaomi%20Redmi%20Note%2011%20Recycletek%20Folio%20Stand%20-%20Zwart#/category=Accessoires/pageNo=4
27,2119501, Muvit iPhone 13 Reinforced Soft Cover - Transparant ,Transparant,,,22,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2119501&productName=Muvit%20iPhone%2013%20Reinforced%20Soft%20Cover%20-%20Transparant#/category=Accessoires/pageNo=4
