,product_id,model,color,memory,price_regular,price_for_clients,link
0,2123285," Apple MacBook Air 13"" M1 256GB Space Grey - Azerty ",Grijs,256 GB," € 979,00 ",969,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2123285&productName=Apple%20MacBook%20Air%2013%22%20M1%20256GB%20Space%20Grey%20-%20Azerty#/category=Home%20Office/pageNo=1
1,2124979," Apple MacBook Pro 16"" M1 512GB Space Grey - Azerty ",Grijs,512 GB," € 2199,00 ",2179,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2124979&productName=Apple%20MacBook%20Pro%2016%22%20M1%20512GB%20Space%20Grey%20-%20Azerty#/category=Home%20Office/pageNo=1
2,2124788, Samsung Chromebook Go 4G 64GB 14 inch - Silver ,Zilver,64 GB," € 399,00 ",349,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2124788&productName=Samsung%20Chromebook%20Go%204G%2064GB%2014%20inch%20-%20Silver#/category=Home%20Office/pageNo=1
3,2117179, Huawei Mateview GT 27 Monitor ,Zwart,," € 399,00 ",229,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2117179&productName=Huawei%20Mateview%20GT%2027%20Monitor#/category=Home%20Office/pageNo=1
4,2067885, Siemens DL 580 ,Grijs,," € 59,00 ",55,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2067885&productName=Siemens%20DL%20580#/category=Home%20Office/pageNo=1
5,2109979, Gigaset AS690R ,Zwart,," € 39,00 ",29,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2109979&productName=Gigaset%20AS690R#/category=Home%20Office/pageNo=1
6,2107483, Logitech AZERTY-BE Toetsenbord K120 ,Zwart,,,17,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2107483&productName=Logitech%20AZERTY-BE%20Toetsenbord%20K120#/category=Home%20Office/pageNo=1
7,2107482, Logitech Marathon Mouse M707 ,Grijs,,,49,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2107482&productName=Logitech%20Marathon%20Mouse%20M707#/category=Home%20Office/pageNo=1
8,2110081, Logitech Wireless Mouse M325 - DARK SILVER  ,Zilver,,,40,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2110081&productName=Logitech%20Wireless%20Mouse%20M325%20-%20DARK%20SILVER%C2%A0#/category=Home%20Office/pageNo=1
9,2110083, Logitech C310 webcam ,Zwart,,,60,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2110083&productName=Logitech%20C310%20webcam#/category=Home%20Office/pageNo=1
10,2124690, Samsung Book Go 4G 128GB 14 inch - Silver ,Zilver,128 GB," € 449,00 ",399,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2124690&productName=Samsung%20Book%20Go%204G%20128GB%2014%20inch%20-%20Silver#/category=Home%20Office/pageNo=1
11,2086183, desire2view Verstelbare laptop stand -zilver ,Wit,," € 39,00 ",29,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2086183&productName=desire2view%20Verstelbare%20laptop%20stand%20-zilver#/category=Home%20Office/pageNo=1
12,2130684, Apple Magic Keyboard Folio voor iPad (10e generatie) - Frans ,Wit,,,299,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2130684&productName=Apple%20Magic%20Keyboard%20Folio%20voor%20iPad%20(10e%20generatie)%20-%20Frans#/category=Home%20Office/pageNo=2
