,product_id,model,color,memory,price_regular,price_for_clients,link
0,3300590," Apple Watch Ultra 2 GPS + Cellular, 49mm Titanium Case with Blue Ocean Band ",Blauw,64 GB," € 899,00 ",799,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300590&productName=Apple%20Apple%20Watch%20Ultra%202%20GPS#/category=Smartwatches/pageNo=1
1,3300590," Apple Watch Ultra 2 GPS + Cellular, 49mm Titanium Case with Blue/Black Trail Loop - S/M ",Grijs,64 GB," € 899,00 ",799,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300590&productName=Apple%20Apple%20Watch%20Ultra%202%20GPS#/category=Smartwatches/pageNo=1
2,3300596, Apple Watch Series 9 GPS + Cellular 45mm Midnight Aluminium Case with Midnight Sport Band - S/M ,Grijs,64 GB," € 599,00 ",549,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300596&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2045mm%20Midnight%20Aluminium%20Case%20with%20Midnight%20Sport%20Band%20-%20S/M#/category=Smartwatches/pageNo=1
3,3300594, Apple Watch Series 9 GPS + Cellular 45mm Midnight Aluminium Case with Midnight Sport Band - M/L ,Grijs,64 GB," € 599,00 ",549,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300594&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2045mm%20Midnight%20Aluminium%20Case%20with%20Midnight%20Sport%20Band%20-%20M/L#/category=Smartwatches/pageNo=1
4,3300587, Apple Watch Series 9 GPS + Cellular 45mm Midnight Aluminium Case with Midnight Sport Loop ,Grijs,64 GB," € 599,00 ",549,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300587&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2045mm%20Midnight%20Aluminium%20Case%20with%20Midnight%20Sport%20Loop#/category=Smartwatches/pageNo=1
5,3300589, Apple Watch Series 9 GPS + Cellular 45mm Pink Aluminium Case with Light Pink Sport Band - S/M ,Roze,64 GB," € 599,00 ",549,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300589&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2045mm%20Pink%20Aluminium%20Case%20with%20Light%20Pink%20Sport%20Band%20-%20S/M#/category=Smartwatches/pageNo=1
6,3300584, Apple Watch Series 9 GPS + Cellular 45mm Pink Aluminium Case with Light Pink Sport Band - M/L ,Roze,64 GB," € 599,00 ",549,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300584&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2045mm%20Pink%20Aluminium%20Case%20with%20Light%20Pink%20Sport%20Band%20-%20M/L#/category=Smartwatches/pageNo=1
7,3300595, Apple Watch Series 9 GPS + Cellular 41mm Starlight Aluminium Case with Starlight Sport Band - S/M ,Goud,64 GB," € 569,00 ",519,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300595&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2041mm%20Starlight%20Aluminium%20Case%20with%20Starlight%20Sport%20Band%20-%20S/M#/category=Smartwatches/pageNo=1
8,3300585, Apple Watch Series 9 GPS + Cellular 41mm Starlight Aluminium Case with Starlight Sport Band - M/L ,Goud,64 GB," € 569,00 ",519,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300585&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2041mm%20Starlight%20Aluminium%20Case%20with%20Starlight%20Sport%20Band%20-%20M/L#/category=Smartwatches/pageNo=1
9,3300586, Apple Watch Series 9 GPS + Cellular 41mm Starlight Aluminium Case with Starlight Sport Loop ,Goud,64 GB," € 569,00 ",519,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300586&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2041mm%20Starlight%20Aluminium%20Case%20with%20Starlight%20Sport%20Loop#/category=Smartwatches/pageNo=1
