,product_id,model,color,memory,price_regular,price_for_clients,link
0,3300177, TCL QLED TV 65C745 4K (2023) - 65 inch ,Zwart,," € 999,00 ",699,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300177&productName=TCL%20QLED%20TV%2065C745%204K%20(2023)%20-%2065%20inch%20#/category=TV%20&%20Audio/pageNo=1
1,3300179, Samsung QLED TV QE55Q80 - 55 inch ,Zwart,," € 899,00 ",649,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300179&productName=Samsung%20QLED%20TV%20QE55Q80%20-%2055%20inch#/category=TV%20&%20Audio/pageNo=1
2,2126593, TCL LED TV 55P735 - 55 inch ,Zwart,," € 549,00 ",369,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2126593&productName=TCL%20LED%20TV%2055P735%20-%2055%20inch#/category=TV%20&%20Audio/pageNo=1
3,3300180, Samsung QLED TV QE65Q80 - 65 inch ,Zwart,," € 1199,00 ",849,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300180&productName=Samsung%20QLED%20TV%20QE65Q80%20-%2065%20inch#/category=TV%20&%20Audio/pageNo=1
4,3300181, Samsung QLED TV QE55QN85 - 55 inch ,Zwart,," € 999,00 ",799,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300181&productName=Samsung%20QLED%20TV%20QE55QN85%20-%2055%20inch%20#/category=TV%20&%20Audio/pageNo=1
5,3300176, TCL QLED TV 55C745 4K (2023) - 55 inch ,Zwart,," € 799,00 ",549,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300176&productName=TCL%20QLED%20TV%2055C745%204K%20(2023)%20-%2055%20inch%20#/category=TV%20&%20Audio/pageNo=1
6,3300199, LG LED TV 65UQ81006LB ,Zwart,," € 749,00 ",599,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300199&productName=LG%20LED%20TV%2065UQ81006LB#/category=TV%20&%20Audio/pageNo=1
7,3300200, LG OLED TV OLED48C24LA ,Zwart,," € 1199,00 ",899,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300200&productName=LG%20OLED%20TV%20OLED48C24LA#/category=TV%20&%20Audio/pageNo=1
8,3300174, TCL LED TV 32S5400AF - 32 inch  ,Zwart,," € 249,00 ",169,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300174&productName=TCL%20LED%20TV%2032S5400AF%20-%2032%20inch#/category=TV%20&%20Audio/pageNo=1
9,3300175, TCL LED TV 43P735 - 43 inch ,Zwart,," € 399,00 ",269,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300175&productName=TCL%20LED%20TV%2043P735%20-%2043%20inch#/category=TV%20&%20Audio/pageNo=1
10,2124782, Google Chromecast with Google TV (NL/BE/AT/CH) ,Wit,," € 69,00 ",49,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2124782&productName=Google%20Chromecast%20with%20Google%20TV#/category=TV%20&%20Audio/pageNo=1
11,2110880, Sony PlayStation 4 Slim 500GB Black ,Zwart,500 GB," € 299,00 ",249,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2110880&productName=Sony%20PlayStation%204%20Slim%20500GB%20Black#/category=TV%20&%20Audio/pageNo=1
12,2128979, Google Chromecast with Google TV HD 2K ,Wit,," € 39,00 ",35,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2128979&productName=Google%20Chromecast%20with%20Google%20TV%20HD%202K#/category=TV%20&%20Audio/pageNo=1
13,2088182, Samsung QE55Q60TASXXN ,Zwart,," € 699,00 ",599,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2088182&productName=Samsung%20QE55Q60TASXXN#/category=TV%20&%20Audio/pageNo=1
14,2121598, LG Smart TV 32LQ630B ,Zwart,," € 259,00 ",219,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2121598&productName=LG%2032LQ630B#/category=TV%20&%20Audio/pageNo=1
15,2075479, Vistron DVB-C radio tuner VDR 210 ,Zwart,," € 69,00 ",49,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2075479&productName=Vistron%20DVB-C%20radio%20tuner%20VDR%20210#/category=TV%20&%20Audio/pageNo=2
16,2116879, Apple TV HD 32GB 2021 ,Zwart,32 GB," € 129,00 ",119,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2116879&productName=Apple%20TV%20HD%2032GB%202022#/category=TV%20&%20Audio/pageNo=2
17,2061994, Google Chromecast 3 ,Wit,," € 39,00 ",35,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2061994&productName=Google%20Chromecast%203#/category=TV%20&%20Audio/pageNo=2
18,2077579, Apple TV 4K 32GB ,Zwart,32 GB," € 159,00 ",99,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2077579&productName=Apple%20TV%204K%2032GB#/category=TV%20&%20Audio/pageNo=2
